"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.0.5","seurat_clusters"
"Con1_056","Con1",235,107,"0","0"
"Con1_057","Con1",264,112,"0","0"
"Con1_058","Con1",293,122,"3","3"
"Con1_059","Con1",282,121,"0","0"
"Con1_060","Con1",213,106,"2","2"
"Con1_061","Con1",242,120,"2","2"
"Con1_062","Con1",261,120,"0","0"
"Con1_063","Con1",240,108,"0","0"
"Con1_064","Con1",334,113,"1","1"
"Con1_065","Con1",369,119,"3","3"
"Con1_066","Con1",231,100,"2","2"
"Con1_067","Con1",385,132,"1","1"
"Con1_068","Con1",275,117,"0","0"
"Con1_069","Con1",270,129,"0","0"
"Con1_070","Con1",339,115,"1","1"
"Con1_071","Con1",342,126,"1","1"
"Con1_072","Con1",346,115,"1","1"
"Con1_073","Con1",244,106,"2","2"
"Con1_074","Con1",347,128,"3","3"
"Con1_075","Con1",232,108,"2","2"
"Con1_076","Con1",275,112,"0","0"
"Con1_077","Con1",229,108,"0","0"
"Con1_078","Con1",264,110,"0","0"
"Con1_079","Con1",243,110,"0","0"
"Con1_080","Con1",294,107,"3","3"
"Con1_081","Con1",318,121,"3","3"
"Con1_082","Con1",254,97,"0","0"
"Con1_083","Con1",339,120,"1","1"
"Con1_084","Con1",271,117,"0","0"
"Con1_085","Con1",265,107,"0","0"
"Con1_086","Con1",261,95,"0","0"
"Con1_087","Con1",284,112,"3","3"
"Con1_088","Con1",264,123,"0","0"
"Con1_089","Con1",279,122,"0","0"
"Con1_090","Con1",230,104,"2","2"
"Con1_091","Con1",339,110,"1","1"
"Con1_092","Con1",316,120,"3","3"
"Con1_093","Con1",238,113,"2","2"
"Con1_094","Con1",245,108,"0","0"
"Con1_095","Con1",287,122,"0","0"
"Con1_096","Con1",227,100,"0","0"
"Con1_097","Con1",375,125,"1","1"
"Con1_098","Con1",262,104,"0","0"
"Con1_099","Con1",279,129,"2","2"
"Con1_100","Con1",282,109,"0","0"
"Con2_001","Con2",325,120,"3","3"
"Con2_002","Con2",282,113,"3","3"
"Con2_003","Con2",262,127,"2","2"
"Con2_004","Con2",239,114,"0","0"
"Con2_005","Con2",246,102,"0","0"
"Con2_006","Con2",247,105,"0","0"
"Con2_007","Con2",270,110,"0","0"
"Con2_008","Con2",329,113,"1","1"
"Con2_009","Con2",399,115,"1","1"
"Con2_010","Con2",322,106,"1","1"
"Con2_011","Con2",254,105,"0","0"
"Con2_012","Con2",203,105,"2","2"
"Con2_013","Con2",240,96,"2","2"
"Con2_014","Con2",225,107,"2","2"
"Con2_015","Con2",262,114,"0","0"
"Con2_016","Con2",263,114,"0","0"
"Con2_017","Con2",252,105,"0","0"
"Con2_018","Con2",325,118,"1","1"
"Con2_019","Con2",351,111,"1","1"
"Con2_020","Con2",237,104,"0","0"
"Con2_021","Con2",261,107,"0","0"
"Con2_022","Con2",268,124,"0","0"
"Con2_023","Con2",260,113,"0","0"
"Con2_024","Con2",267,111,"3","3"
"Con2_025","Con2",345,119,"1","1"
"Con2_026","Con2",269,123,"0","0"
"Con2_027","Con2",219,105,"2","2"
"Con2_028","Con2",260,114,"0","0"
"Con2_029","Con2",292,106,"3","3"
"Con2_030","Con2",220,104,"2","2"
"Con2_031","Con2",263,111,"0","0"
"Con2_032","Con2",364,108,"1","1"
"Con2_033","Con2",256,116,"0","0"
"Con2_034","Con2",226,106,"2","2"
"Con2_035","Con2",237,109,"0","0"
"Con2_036","Con2",222,101,"2","2"
"Con2_037","Con2",276,114,"0","0"
"Con2_038","Con2",259,115,"0","0"
"Con2_039","Con2",282,126,"0","0"
"Con2_040","Con2",326,109,"3","3"
"Con2_041","Con2",235,107,"2","2"
"Con2_042","Con2",218,101,"0","0"
"Con2_043","Con2",242,117,"0","0"
"Con2_044","Con2",374,139,"1","1"
"Con2_045","Con2",361,129,"1","1"
"Con2_046","Con2",383,111,"1","1"
"Con2_047","Con2",313,118,"3","3"
"Con2_048","Con2",308,123,"3","3"
"Con2_049","Con2",343,120,"3","3"
"Con2_050","Con2",381,134,"1","1"
"Con2_051","Con2",262,113,"0","0"
"Con2_052","Con2",268,97,"0","0"
"Con2_053","Con2",233,121,"0","0"
"Con2_054","Con2",212,105,"2","2"
"Con2_055","Con2",356,113,"1","1"
"Con2_056","Con2",312,111,"3","3"
"Con2_057","Con2",252,105,"0","0"
"Con2_058","Con2",375,127,"1","1"
"Con2_059","Con2",258,113,"3","3"
"Con2_060","Con2",307,111,"3","3"
"Con2_061","Con2",225,111,"2","2"
"Con2_062","Con2",241,104,"0","0"
"Con2_063","Con2",228,105,"0","0"
"Con2_064","Con2",385,120,"1","1"
"Con2_065","Con2",307,116,"3","3"
"Con2_066","Con2",357,116,"1","1"
"Con2_067","Con2",342,122,"1","1"
"Con2_068","Con2",218,102,"2","2"
"Con2_069","Con2",245,134,"2","2"
"Con2_070","Con2",372,111,"1","1"
"Con2_071","Con2",247,113,"2","2"
"Con2_072","Con2",318,114,"3","3"
"Con2_073","Con2",341,130,"1","1"
"Con2_074","Con2",323,121,"3","3"
"Con2_075","Con2",285,117,"0","0"
"Con2_076","Con2",241,111,"2","2"
"Con2_077","Con2",338,120,"1","1"
"Con2_078","Con2",371,121,"1","1"
"Con2_079","Con2",340,117,"1","1"
"Con2_080","Con2",227,110,"2","2"
"Con2_081","Con2",237,103,"0","0"
"Con2_082","Con2",396,131,"1","1"
"Con2_083","Con2",355,126,"1","1"
"Con2_084","Con2",235,99,"2","2"
"Con2_085","Con2",293,116,"3","3"
"Con2_086","Con2",242,113,"0","0"
"Con2_087","Con2",355,123,"1","1"
"Con2_088","Con2",253,100,"0","0"
"Con2_089","Con2",275,119,"0","0"
"Con2_090","Con2",269,111,"0","0"
"Con2_091","Con2",264,111,"0","0"
"Con2_092","Con2",357,115,"1","1"
"Con2_093","Con2",273,132,"0","0"
"Con2_094","Con2",325,116,"3","3"
"Con2_095","Con2",277,99,"0","0"
"Con2_096","Con2",300,105,"3","3"
"Con2_097","Con2",363,117,"1","1"
"Con2_098","Con2",218,110,"2","2"
"Con2_099","Con2",246,111,"2","2"
"Con2_100","Con2",283,129,"0","0"
"PED1_001","PED1",308,141,"0","0"
"PED1_002","PED1",470,151,"1","1"
"PED1_003","PED1",392,157,"3","3"
"PED1_004","PED1",500,138,"1","1"
"PED1_005","PED1",477,158,"1","1"
"PED1_006","PED1",465,152,"1","1"
"PED1_007","PED1",294,124,"0","0"
"PED1_008","PED1",328,152,"2","2"
"PED1_009","PED1",284,135,"2","2"
"PED1_010","PED1",484,138,"1","1"
"PED1_011","PED1",317,127,"0","0"
"PED1_012","PED1",483,161,"1","1"
"PED1_013","PED1",349,139,"0","0"
"PED1_014","PED1",296,132,"0","0"
"PED1_015","PED1",320,152,"2","2"
"PED1_016","PED1",470,139,"1","1"
"PED1_017","PED1",471,153,"1","1"
"PED1_018","PED1",312,142,"2","2"
"PED1_019","PED1",495,150,"1","1"
"PED1_020","PED1",334,142,"0","0"
"PED1_021","PED1",497,140,"1","1"
"PED1_022","PED1",304,134,"2","2"
"PED1_023","PED1",298,140,"2","2"
"PED1_024","PED1",363,126,"3","3"
"PED1_025","PED1",309,143,"0","0"
"PED1_026","PED1",278,125,"0","0"
"PED1_027","PED1",287,124,"2","2"
"PED1_028","PED1",481,153,"1","1"
"PED1_029","PED1",313,138,"0","0"
"PED1_030","PED1",317,142,"0","0"
"PED1_031","PED1",297,133,"0","0"
"PED1_032","PED1",283,127,"2","2"
"PED1_033","PED1",337,137,"3","3"
"PED1_034","PED1",279,123,"0","0"
"PED1_035","PED1",298,139,"2","2"
"PED1_036","PED1",475,149,"1","1"
"PED1_037","PED1",479,148,"1","1"
"PED1_038","PED1",359,144,"3","3"
"PED1_039","PED1",526,160,"1","1"
"PED1_040","PED1",320,138,"0","0"
"PED1_041","PED1",326,137,"0","0"
"PED1_042","PED1",461,141,"1","1"
"PED1_043","PED1",300,132,"0","0"
"PED1_044","PED1",491,150,"1","1"
"PED1_045","PED1",274,130,"2","2"
"PED1_046","PED1",307,125,"0","0"
"PED1_047","PED1",317,142,"0","0"
"PED1_048","PED1",305,130,"0","0"
"PED1_049","PED1",324,132,"0","0"
"PED1_050","PED1",484,137,"1","1"
"PED1_051","PED1",344,147,"0","0"
"PED1_052","PED1",351,134,"3","3"
"PED1_053","PED1",301,117,"0","0"
"PED1_054","PED1",330,130,"0","0"
"PED1_055","PED1",289,129,"0","0"
"PED1_056","PED1",310,134,"0","0"
"PED1_057","PED1",522,150,"1","1"
"PED1_058","PED1",259,124,"2","2"
"PED1_059","PED1",530,154,"1","1"
"PED1_060","PED1",497,143,"1","1"
"PED1_061","PED1",288,126,"0","0"
"PED1_062","PED1",385,140,"3","3"
"PED1_063","PED1",540,156,"1","1"
"PED1_064","PED1",331,139,"0","0"
"PED1_065","PED1",512,163,"1","1"
"PED1_066","PED1",354,154,"3","3"
"PED1_067","PED1",524,165,"1","1"
"PED1_068","PED1",334,131,"3","3"
"PED1_069","PED1",479,151,"1","1"
"PED1_070","PED1",309,138,"0","0"
"PED1_071","PED1",485,137,"1","1"
"PED1_072","PED1",520,147,"1","1"
"PED1_073","PED1",495,154,"1","1"
"PED1_074","PED1",341,126,"3","3"
"PED1_075","PED1",320,136,"0","0"
"PED1_076","PED1",352,152,"3","3"
"PED1_077","PED1",291,137,"0","0"
"PED1_078","PED1",287,141,"2","2"
"PED1_079","PED1",518,170,"1","1"
"PED1_080","PED1",300,122,"0","0"
"PED1_081","PED1",357,133,"3","3"
"PED1_082","PED1",357,143,"3","3"
"PED1_083","PED1",315,146,"0","0"
"PED1_084","PED1",465,150,"1","1"
"PED1_085","PED1",473,162,"1","1"
"PED1_086","PED1",291,127,"0","0"
"PED1_087","PED1",518,154,"1","1"
"PED1_088","PED1",330,145,"0","0"
"PED1_089","PED1",335,139,"0","0"
"PED1_090","PED1",487,165,"1","1"
"PED1_091","PED1",329,148,"0","0"
"PED1_092","PED1",472,155,"1","1"
"PED1_093","PED1",455,146,"1","1"
"PED1_094","PED1",506,157,"1","1"
"PED1_095","PED1",529,157,"1","1"
"PED1_096","PED1",470,146,"1","1"
"PED1_097","PED1",328,131,"0","0"
"PED1_098","PED1",315,141,"0","0"
"PED1_099","PED1",321,136,"0","0"
"PED1_100","PED1",329,140,"0","0"
"PED2_001","PED2",335,154,"0","0"
"PED2_002","PED2",328,137,"0","0"
"PED2_003","PED2",315,127,"0","0"
"PED2_004","PED2",284,127,"2","2"
"PED2_005","PED2",516,145,"1","1"
"PED2_006","PED2",473,149,"1","1"
"PED2_007","PED2",321,146,"2","2"
"PED2_008","PED2",462,127,"1","1"
"PED2_009","PED2",281,142,"2","2"
"PED2_010","PED2",393,148,"3","3"
"PED2_011","PED2",247,115,"2","2"
"PED2_012","PED2",266,130,"0","0"
"PED2_013","PED2",506,157,"1","1"
"PED2_014","PED2",347,155,"0","0"
"PED2_015","PED2",311,140,"0","0"
"PED2_016","PED2",311,139,"2","2"
"PED2_017","PED2",531,164,"1","1"
"PED2_018","PED2",535,154,"1","1"
"PED2_019","PED2",271,129,"0","0"
"PED2_020","PED2",444,145,"1","1"
"PED2_021","PED2",400,150,"3","3"
"PED2_022","PED2",276,127,"2","2"
"PED2_023","PED2",492,151,"1","1"
"PED2_024","PED2",327,138,"0","0"
"PED2_025","PED2",486,146,"1","1"
"PED2_026","PED2",330,139,"0","0"
"PED2_027","PED2",305,143,"0","0"
"PED2_028","PED2",329,131,"0","0"
"PED2_029","PED2",327,138,"0","0"
"PED2_030","PED2",302,143,"2","2"
"PED2_031","PED2",331,141,"0","0"
"PED2_032","PED2",342,158,"0","0"
"PED2_033","PED2",507,149,"1","1"
"PED2_034","PED2",513,147,"1","1"
"PED2_035","PED2",284,132,"2","2"
"PED2_036","PED2",489,152,"1","1"
"PED2_037","PED2",452,165,"1","1"
"PED2_038","PED2",292,124,"2","2"
"PED2_039","PED2",328,149,"0","0"
"PED2_040","PED2",362,128,"3","3"
"PED2_041","PED2",362,141,"3","3"
"PED2_042","PED2",401,149,"3","3"
"PED2_043","PED2",516,157,"1","1"
"PED2_044","PED2",268,139,"2","2"
"PED2_045","PED2",467,155,"1","1"
"PED2_046","PED2",310,137,"0","0"
"PED2_047","PED2",268,136,"2","2"
"PED2_048","PED2",278,141,"2","2"
"PED2_049","PED2",296,127,"0","0"
"PED2_050","PED2",501,156,"1","1"
"PED2_051","PED2",555,153,"1","1"
"PED2_052","PED2",323,134,"0","0"
"PED2_053","PED2",267,125,"2","2"
"PED2_054","PED2",315,135,"0","0"
"PED2_055","PED2",519,155,"1","1"
"PED2_056","PED2",538,142,"1","1"
"PED2_057","PED2",322,150,"0","0"
"PED2_058","PED2",315,131,"2","2"
"PED2_059","PED2",308,142,"0","0"
"PED2_060","PED2",335,149,"0","0"
"PED2_061","PED2",479,147,"1","1"
"PED2_062","PED2",305,131,"0","0"
"PED2_063","PED2",487,152,"1","1"
"PED2_064","PED2",313,127,"0","0"
"PED2_065","PED2",309,147,"2","2"
"PED2_066","PED2",339,149,"0","0"
"PED2_067","PED2",264,117,"2","2"
"PED2_068","PED2",315,142,"0","0"
"PED2_069","PED2",322,134,"0","0"
"PED2_070","PED2",480,152,"1","1"
"PED2_071","PED2",303,124,"2","2"
"PED2_072","PED2",511,152,"1","1"
"PED2_073","PED2",510,152,"1","1"
"PED2_074","PED2",372,137,"3","3"
"PED2_075","PED2",321,129,"0","0"
"PED2_076","PED2",288,125,"0","0"
"PED2_077","PED2",491,150,"1","1"
"PED2_078","PED2",357,135,"3","3"
"PED2_079","PED2",336,142,"0","0"
"PED2_080","PED2",500,159,"1","1"
"PED2_081","PED2",494,147,"1","1"
"PED2_082","PED2",295,128,"2","2"
"PED2_083","PED2",336,145,"0","0"
"PED2_084","PED2",290,134,"2","2"
"PED2_085","PED2",293,155,"0","0"
"PED2_086","PED2",297,128,"2","2"
"PED2_087","PED2",482,148,"1","1"
"PED2_088","PED2",303,128,"0","0"
"PED2_089","PED2",295,121,"0","0"
"PED2_090","PED2",304,128,"0","0"
"PED2_091","PED2",329,144,"0","0"
"PED2_092","PED2",329,141,"0","0"
"PED2_093","PED2",325,143,"0","0"
"PED2_094","PED2",497,151,"1","1"
"PED2_095","PED2",265,132,"2","2"
"PED2_096","PED2",456,136,"1","1"
"PED2_097","PED2",305,136,"0","0"
"PED2_098","PED2",276,127,"2","2"
"PED2_099","PED2",317,121,"0","0"
"PED2_100","PED2",306,135,"0","0"
